goos: darwin
goarch: arm64
pkg: erl
cpu: Apple M4 Pro
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 5992218	        53.87 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 7086451	        53.18 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 6877704	        50.72 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 7275892	        51.19 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 6947526	        50.65 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 7382841	        50.56 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 7257045	        49.63 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 7306658	        50.23 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 7094125	        50.91 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=erl-14         	 7007214	        50.45 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2425665	       148.6 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2210730	       152.8 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2518456	       145.6 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2478598	       147.8 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2421518	       146.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2498030	       144.6 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2457066	       145.6 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2501523	       144.0 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2509161	       143.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=param/router=erl-14          	 2497002	       145.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2270647	       158.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2274495	       159.3 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2271213	       156.5 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2275382	       158.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2262318	       159.2 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2285091	       167.0 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2198599	       162.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2266514	       160.4 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2245131	       159.8 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=two_params/router=erl-14     	 2261828	       159.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2448829	       146.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2467735	       148.9 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2458491	       146.8 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2466478	       144.2 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2521004	       143.8 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2514228	       144.3 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2418910	       146.7 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2453700	       145.3 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2487436	       152.4 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=catchall/router=erl-14       	 2311138	       150.1 ns/op	     656 B/op	       3 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3039468	       120.2 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3150242	       116.0 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3030356	       116.0 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3130490	       114.6 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3086263	       115.8 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3188289	       114.6 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3127390	       118.0 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3134572	       114.7 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3159700	       117.2 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=mixed/router=erl-14          	 3148959	       114.9 ns/op	     521 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2582187	       139.1 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2610468	       138.7 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2571423	       140.5 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2541808	       145.0 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2566128	       148.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2473531	       143.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2663053	       136.9 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2632102	       141.9 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2538142	       144.8 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=static/router=std-14         	 2247776	       167.0 ns/op	     320 B/op	       1 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1812507	       196.9 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1890944	       189.5 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1751398	       204.9 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1797625	       198.8 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1942856	       184.7 ns/op	     336 B/op	       2 allocs/op
BenchmarkDispatch/routes=10/case=param/router=std-14          	 1857354	       190.6 ns/op	     336 B/op	       2 allocs/op
